vendor ID,vendor name,category,subcategory,strategy,refinery,additional comments,owner name
V00001,Rockwell Automation,Flow Instruments,Ultrasonic Flow Meters,Sustainability and green procurement focus,Baton Rouge Refinery,Vendor to assist with installation and commissioning.,Aisha Patel
V00002,General Electric (GE),Vibration Measurement Instruments,Portable Vibrometers,Life-cycle cost evaluation and optimization,Port Arthur Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00003,Mettler-Toledo,Analytical Instruments,Dissolved Oxygen Meters,Framework agreement for multi-site supply,Whiting Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00004,Siemens AG,Vibration Measurement Instruments,Vibration Sensors,Bulk purchasing for volume discounts,Martinez Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00005,Fluke Corporation,Safety Instruments,Gas Detectors,Spend analysis and cost optimization,Whiting Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00006,WIKA Instrument,Pressure Instruments,Pressure Gauges,Long-term partnership with global supplier,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00007,Valmet,Signal Conditioning,Transmitters,Long-term partnership with global supplier,Port Arthur Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00008,Bruker Corporation,Analytical Instruments,Dissolved Oxygen Meters,Leveraging spend for volume discounts,Martinez Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00009,Bruker Corporation,Safety Instruments,Gas Detectors,Long-term partnership with global supplier,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00010,Emerson Electric Co.,Pressure Instruments,Differential Pressure Transmitters,Dual sourcing with local backup vendor,Baton Rouge Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00011,Fisher Controls (Emerson),Safety Instruments,Gas Detectors,Spend analysis and cost optimization,Baton Rouge Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00012,WIKA Instrument,Safety Instruments,Safety Valves,Technology upgrade and digitalization program,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00013,Agilent Technologies,Analytical Instruments,Conductivity Meters,Life-cycle cost evaluation and optimization,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00014,Yokogawa Electric Corporation,Level Instruments,Radar Level Sensors,Dual sourcing with local backup vendor,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00015,Yokogawa Electric Corporation,Vibration Measurement Instruments,Vibration Sensors,Dual sourcing with local backup vendor,Port Arthur Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00016,VEGA Grieshaber,Vibration Measurement Instruments,Portable Vibrometers,Sustainability and green procurement focus,Whiting Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00017,National Instruments,Control Valves,Ball Valves,Performance-based maintenance contract,Baytown Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00018,Yokogawa Corporation of America,Control Valves,Ball Valves,Standardization and bundling of similar items,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00019,Kistler Instruments,Flow Instruments,Ultrasonic Flow Meters,Sustainability and green procurement focus,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00020,Keysight Technologies,Pressure Instruments,Differential Pressure Transmitters,Standardization and bundling of similar items,Martinez Refinery,Preference for suppliers with local service centers.,Megan Chen
V00021,Kistler Instruments,Level Instruments,Ultrasonic Level Sensors,Long-term partnership with global supplier,Baton Rouge Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00022,Keysight Technologies,Level Instruments,Capacitance Level Sensors,Risk mitigation through multi-year contracts,Martinez Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00023,Agilent Technologies,Control Valves,Globe Valves,Supplier development and collaboration,Whiting Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00024,Agilent Technologies,Temperature Instruments,Thermocouples,Consignment stock and vendor-managed inventory,Martinez Refinery,Equipment is subject to harsh conditions; require rugged design.,Rahul Iyer
V00025,Schneider Electric,Signal Conditioning,Signal Converters,Long-term partnership with global supplier,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00026,ABB Ltd.,Temperature Instruments,Infrared Sensors,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00027,Yokogawa Electric Corporation,Temperature Instruments,RTDs,Standardization and bundling of similar items,Martinez Refinery,Compliance with API and ASTM standards is mandatory.,Rahul Iyer
V00028,Yokogawa Corporation of America,Pressure Instruments,Differential Pressure Transmitters,Standardization and bundling of similar items,Martinez Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
